name	theme	type	cost	est_cust	maintenance_time	workers updated_at
Radical Hot Dogs	extreme	food	89000	139	39	3	2022-05-15T15:12:59.152Z
Zombie Hot Dogs	spooky	food	128000	64	12	4	2022-05-15T15:12:59.152Z
Sailor Pins	pirate	shop	89000	123	26	5	2022-05-15T15:12:59.152Z
Inordinate Hats	extreme	shop	119000	86	21	2	2022-05-15T15:12:59.152Z
Utter Rotator	extreme	kids	71000	482	14	4	2022-05-15T15:12:59.152Z
Marine Pins	aquarium	shop	75000	58	21	3	2022-05-15T15:12:59.152Z
Jungle Turbulence	zoo	flat	1864000	1889	19	4	2022-05-15T15:12:59.152Z
Jellyfish Toboggan	aquarium	flat	1934000	1864	20	4	2022-05-15T15:12:59.152Z
Capybara Steak	zoo	food	109000	119	35	5	2022-05-15T15:12:59.152Z
Submerged Fried Potatoes	aquarium	food	119000	98	23	4	2022-05-15T15:12:59.152Z
Irrational Stomach-turner	extreme	flat	684000	704	32	4	2022-05-15T15:12:59.152Z
Intense Umbrellas	extreme	shop	89000	92	35	2	2022-05-15T15:12:59.152Z
Nightmare Rotator	spooky	kids	121000	425	12	5	2022-05-15T15:12:59.152Z
Planetfall Steak	space	food	96000	137	29	2	2022-05-15T15:12:59.152Z
Comet Maritozzo	space	food	135000	107	20	3	2022-05-15T15:12:59.152Z
Plank Bungie	pirate	flat	1000000	822	10	4	2022-05-15T15:12:59.152Z
Sailor Drop	pirate	flat	1397000	1076	19	4	2022-05-15T15:12:59.152Z
Solstace Bumpers	space	kids	92000	442	21	5	2022-05-15T15:12:59.152Z
Gangplank Lightspeed	pirate	coaster	2017000	2773	20	2	2022-05-15T15:12:59.152Z
Scary Flight	spooky	kids	74000	224	9	5	2022-05-15T15:12:59.152Z
Gangplank Force	pirate	coaster	967000	688	6	5	2022-05-15T15:12:59.152Z
Woodland Boat	zoo	kids	61000	315	16	2	2022-05-15T15:12:59.152Z
Untamed Slingshot	zoo	flat	907000	895	35	5	2022-05-15T15:12:59.152Z
Creepy Lightspeed	spooky	coaster	3706000	3238	5	4	2022-05-15T15:12:59.152Z
